,regnumber,regdate,shortcontent,formnamesed,actkind,acttheme
51,373-ПК,25.03.2019,Об образовании нового муниципального образования Очерский городской округ,Закон 1277-19 от 2019-02-18,Закон,01.15.   Местное самоуправление
52,372-ПК,25.03.2019,Об образовании нового муниципального образования Октябрьский городской округ,Закон 1394-19 от 2019-02-21,Закон,01.15.   Местное самоуправление
53,374-ПК,25.03.2019,Об образовании нового муниципального образования Чердынский городской округ,Закон 1416-19 от 2019-02-21,Закон,01.15.   Местное самоуправление
54,375-ПК,25.03.2019,Об образовании нового муниципального образования Чусовской городской округ,Закон 1396-19 от 2019-02-22,Закон,01.15.   Местное самоуправление
55,411-ПК,20.06.2019,О внесении изменений в отдельные законы Пермской области и Пермского края,Закон 1893-19 от 2019-03-13,Закон,01.15.   Местное самоуправление
56,1299,23.05.2019,"О поддержке проекта федерального закона № 680571-7 ""О внесении изменений в статью 12.1 Федерального закона ""О противодействии коррупции"" (в части упрощения порядка декларирования доходов депутатов сельских поселений, осуществляющих полномочия на непостоянной основе)",Постановление №3607-19 от 2019-05-16,Постановление,01.15.   Местное самоуправление
57,1300,23.05.2019,"О поддержке проекта федерального закона № 680572-7 ""О внесении изменений в статью 40 Федерального закона ""Об общих принципах организации местного самоуправления в Российской Федерации"" (в части установления мер ответственности для депутатов представительных органов муниципальных образований, назначаемых за коррупционные правонарушения)",Постановление №3606-19 от 2019-05-16,Постановление,01.15.   Местное самоуправление
58,1380,20.06.2019,О состоянии местного самоуправления и развитии муниципальных образований Пермского края в 2018 году,Постановление №4248-19 от 2019-06-07,Постановление,01.15.   Местное самоуправление
59,1431,22.08.2019,"Об информации Правительства Пермского края ""О ходе реализации государственной программы Пермского края ""Региональная политика и развитие территорий""",Постановление №6048-19 от 2019-08-21,Постановление,01.15.   Местное самоуправление
60,1405,22.08.2019,О конкурсах представительных органов муниципальных образований Пермского края,Постановление №5357-19 от 2019-07-22,Постановление,01.15.   Местное самоуправление
61,1071,21.11.2013,"Об итогах проведения выездного заседания комитета по государственной политике и развитию территорий в городском округе ""Город Губаха""",Постановление №6827-13 от 2013-10-23,Постановление,01.15.   Местное самоуправление
62,1067,21.11.2013,О назначении членов конкурсной комиссии для проведения конкурса на замещение должности главы администрации Усольского муниципального района Пермского края,Постановление №7286-13 от 2013-11-11,Постановление,01.15.   Местное самоуправление
63,1073,21.11.2013,О назначении членов конкурсной комиссии для проведения конкурса на замещение должности главы администрации ЗАТО Звездный Пермского края,Постановление №7622-13 от 2013-11-20,Постановление,01.15.   Местное самоуправление
64,2208,26.08.2021,О состоянии местного самоуправления  и развитии муниципальных образований Пермского края в 2020 году,Постановление №5142-21 от 2021-08-12,Постановление,01.15.   Местное самоуправление
65,1840,24.09.2020,О состоянии местного самоуправления и развитии муниципальных образований Пермского края в 2019 году,Постановление №4525-20 от 2020-09-09,Постановление,01.15.   Местное самоуправление
66,,,"О внесении изменения в статью 2 Закона Пермского края ""О закреплении дополнительных вопросов местного значения за сельскими поселениями Пермского края и о внесении изменения в Закон Пермского края ""О бюджетном процессе в Пермском крае""",Закон 3192-19 от 2019-04-16,Закон,01.15.   Местное самоуправление
67,327-ПК,07.06.2014,"О внесении изменений в Закон Пермского края ""О передаче органам местного самоуправления Пермского края отдельных государственных полномочий по поддержке сельскохозяйственного производства""",Закон 993-14 от 2014-02-17,Закон,01.15.   Местное самоуправление
68,980,25.10.2013,О состоянии местного самоуправления и развитии муниципальных образований в Пермском крае в 2012 году,Постановление №5350-13 от 2013-08-27,Постановление,01.15.   Местное самоуправление
69,1098,11.12.2013,О постановке на контроль законов Пермского края в 2014 году,Постановление №7832-13 от 2013-11-26,Постановление,01.15.   Местное самоуправление
70,612-ПК,29.02.2016,"О передаче органам местного самоуправления Пермского края отдельных государственных полномочий по организации проведения мероприятий по предупреждению и ликвидации болезней животных, их лечению, отлову и содержанию безнадзорных животных, защите населения",Закон 9090-15 от 2015-11-06,Закон,01.15.   Местное самоуправление
71,401-ПК,26.11.2014,О порядке формирования представительных органов муниципальных образований Пермского края и порядке избрания глав муниципальных образований Пермского края,Закон 5522-14 от 2014-08-15,Закон,01.15.   Местное самоуправление
72,,,"О сроке полномочий и порядке формирования представительных органов муниципальных образований Пермского края, сроке полномочий и порядке избрания глав муниципальных образований Пермского края""",Закон 6091-14 от 2014-09-03,Закон,01.15.   Местное самоуправление
73,542-ПК,06.10.2015,"О внесении изменений в Закон Пермской области ""Об утверждении границ и о наделении статусом муниципальных образований Суксунского района Пермского края""",Закон 5507-15 от 2015-06-30,Закон,01.15.   Местное самоуправление
74,,,"О порядке формирования, организации и деятельности органов местного самоуправленния муниципальных образований в Пермском крае",Закон 5372-14 от 2014-08-12,Закон,01.15.   Местное самоуправление
75,1319,19.06.2014,Об итогах проведения выездного заседания комитета по государственной политике и развитию территорий в Кунгурском муниципальном районе,Постановление №3941-14 от 2014-06-09,Постановление,01.15.   Местное самоуправление
76,б/н,01.07.2014,О состоянии местного самоуправления и развитии муниципальных образований в Пермском крае в 2013 году,Постановление №2996-14 от 2014-05-06,Постановление,01.15.   Местное самоуправление
77,569-ПК,09.12.2015,О наделении органов местного самоуправления Пермского края отдельными государственными полномочиями по подготовке и проведению Всероссийской сельскохозяйственной переписи 2016 года,Закон 6320-15 от 2015-08-10,Закон,01.15.   Местное самоуправление
78,1231,17.04.2014,О назначении членов конкурсной комиссии для проведения конкурса на замещение должности главы администрации города Перми,Постановление №2421-14 от 2014-04-14,Постановление,01.15.   Местное самоуправление
79,416-ПК,22.12.2014,"О закреплении дополнительных вопросов местного значения за сельскими поселениями Пермского края и о внесении изменения в Закон Пермского края ""О бюджетном процессе в Пермском крае»",Закон 7923-14 от 2014-10-29,Закон,01.15.   Местное самоуправление
80,,,"О внесении изменения в статью 4 Закона Пермского края ""О порядке формирования представительных органов муниципальных образований Пермского края и порядке избрания глав муниципальных образований Пермского края""",Закон 9456-14 от 2014-12-23,Закон,01.15.   Местное самоуправление
81,458-ПК,24.03.2015,"О внесении изменений в Закон Пермского края ""О порядке формирования представительных органов муниципальных образований Пермского края и порядке избрания глав муниципальных образований Пермского края""",Закон 1381-15 от 2015-02-19,Закон,01.15.   Местное самоуправление
82,221-ПК,27.04.2018,"О преобразовании поселений, входящих в состав Гремячинского муниципального района, путем объединения с Гремячинским городским округом и о внесении изменений в Закон Пермского края ""О преобразовании Гремячинского городского поселения в Гремячинский городской округ""",Закон 2096-18 от 2018-03-19,Закон,01.15.   Местное самоуправление
83,2420,16.06.2016,О состоянии местного самоуправления и развитии муниципальных образований в Пермском крае в 2015 году,Постановление №4875-16 от 2016-06-08,Постановление,01.15.   Местное самоуправление
84,497-ПК,08.06.2015,Об образовании нового муниципального образования Ныробское городское поселение,Закон 2156-15 от 2015-03-13,Закон,01.15.   Местное самоуправление
85,,,"О внесении изменений в Закон Пермского края ""Об установлении административно-территориальных границ населенных пунктов Добрянского района""",Закон 3832-15 от 2015-04-24,Закон,01.15.   Местное самоуправление
86,1627,22.01.2015,"О поддержке проекта федерального закона "" 639263-6 ""О  внесении изменений в статью 11 Федерального закона ""О внесении изменений в Земельный кодекс Российской Федерации и отдельные законодательные акты Российской Федерации""",Постановление №47-15 от 2015-01-12,Постановление,01.15.   Местное самоуправление
87,1805,21.05.2015,О состоянии местного самоуправления и развитии муниципальных образований в Пермском крае в 2014 году,Постановление №3758-15 от 2015-05-05,Постановление,01.15.   Местное самоуправление
88,,,"О передаче органам местного самоуправления Пермского края отдельных государственных полномочий по отлову, транспортировке и передаче органам ветеринарной службы безнадзорных животных",Закон 7922-15 от 2015-09-30,Закон,01.15.   Местное самоуправление
89,617-ПК,29.02.2016,"О внесении изменений в Закон Пермской области ""Об утверждении границ и о наделении статусом муниципальных образований Чердынского района Пермского края""",Закон 10276-15 от 2015-12-07,Закон,01.15.   Местное самоуправление
90,1880,25.06.2015,"О внесении изменений в постановление Законодательного Собрания Пермского края от 16.06.2011 № 2724 ""Об утверждении Положения о конкурсе на лучшую организацию работы представительных органов муниципальных районов и городских округов Пермского края""",Постановление №4941-15 от 2015-06-10,Постановление,01.15.   Местное самоуправление
91,1907,25.06.2015,О состоянии местного самоуправления и развитии муниципальных образований в Пермском крае в 2014 году,Постановление №5182-15 от 2015-06-18,Постановление,01.15.   Местное самоуправление
92,239-ПК,28.05.2018,Об образовании нового муниципального образования Судинское сельское поселение,Закон 3290-18 от 2018-04-27,Закон,01.15.   Местное самоуправление
93,,,"О внесении изменения в статью 2 Закона Пермского края ""О закреплении дополнительных вопросов местного значения за сельскими поселениями Пермского края и о внесении изменения в Закон Пермского края ""О бюджетном процессе в Пермском крае""",Закон 10453-17 от 2017-12-25,Закон,01.15.   Местное самоуправление
94,1917,25.06.2015,О законодательной инициативе,Постановление №4342-15 от 2015-05-21,Постановление,01.15.   Местное самоуправление
95,,,"О внесении изменения в Закон Пермского края ""О порядке формирования представительных органов муниципальных образований Пермского края и порядке избрания глав муниципальных образований Пермского края""",Закон 5326-16 от 2016-06-24,Закон,01.15.   Местное самоуправление
96,701-ПК,13.09.2016,"О внесении изменения в Закон Пермской области ""Об утверждении границ и о наделении статусом муниципальных образований Горнозаводского района Пермского края""",Закон 5734-16 от 2016-07-07,Закон,01.15.   Местное самоуправление
97,347,08.06.2017,О состоянии местного самоуправления и развитии муниципальных образований в Пермском крае в 2016 году,Постановление №3798-17 от 2017-05-15,Постановление,01.15.   Местное самоуправление
98,2181,21.01.2016,"О внесении изменения в постановление Законодательного Собрания Пермского края от 19.11.2015 № 2094 ""О проекте закона Пермского края ""О передаче органам местного самоуправления Пермского края отдельных государственных полномочий по организации проведения мероприятий по предупреждению и ликвидации болезней животных, их лечению, отлову и содержанию безнадзорных животных, защите населения от болезней, общих для человека и животных"" (первое чтение)""",Постановление №10472-15 от 2015-12-22,Постановление,01.15.   Местное самоуправление
99,534-ПК,29.04.2020,Об образовании нового муниципального образования Куединский муниципальный округ Пермского края,Закон 1822-20 от 2020-03-16,Закон,01.15.   Местное самоуправление
100,369,22.06.2017,О состоянии местного самоуправления и развитии муниципальных образований в Пермском крае в 2016 году,Постановление №4862-17 от 2017-06-19,Постановление,01.15.   Местное самоуправление
101,242-ПК,28.05.2018,Об образовании нового муниципального образования Неволинское сельское поселение,Закон 3575-18 от 2018-05-11,Закон,01.15.   Местное самоуправление
102,,,"О внесении изменений в Закон Пермского края ""О порядке формирования представительных органов муниципальных образований Пермского края и порядке избрания глав муниципальных образований Пермского края""",Закон 6195-16 от 2016-08-08,Закон,01.15.   Местное самоуправление
103,2481,25.08.2016,О признании утратившими силу отдельных постановлений Законодательного Собрания Пермского края,Постановление №6233-16 от 2016-08-11,Постановление,01.15.   Местное самоуправление
104,222-ПК,27.04.2018,"О преобразовании поселений, входящих в состав Кизеловского муниципального района, путем объединения с городским округом ""Город Кизел"" и о внесении изменений в Закон Пермского края ""О преобразовании Кизеловского городского поселения в городской округ ""Город Кизел""",Закон 2212-18 от 2018-03-20,Закон,01.15.   Местное самоуправление
105,240-ПК,28.05.2018,Об образовании нового муниципального образования Горское сельское поселение,Закон 3289-18 от 2018-04-27,Закон,01.15.   Местное самоуправление
106,234-ПК,28.05.2018,"О преобразовании поселений, входящих в состав Краснокамского муниципального района, путем объединения с Краснокамским городским округом и о внесении изменений в Закон Пермского края ""О преобразовании Краснокамского городского поселения в Краснокамский городской округ""",Закон 3329-18 от 2018-04-28,Закон,01.15.   Местное самоуправление
107,236-ПК,28.05.2018,"О преобразовании поселений, входящих в состав Соликамского муниципального района, путем объединения с Соликамским городским округом",Закон 3252-18 от 2018-04-26,Закон,01.15.   Местное самоуправление
108,354-ПК,23.02.2019,"О внесении изменений в Закон Пермской области ""Об установлении наименований представительных органов муниципальных образований, глав муниципальных образований, местных администраций в Пермском крае""",Закон 924-19 от 2019-02-08,Закон,01.15.   Местное самоуправление
109,382-ПК,08.05.2019,О внесении изменений в отдельные законы Пермской области и Пермского края,Закон 530-19 от 2019-01-24,Закон,01.15.   Местное самоуправление
110,461-ПК,05.11.2019,"О внесении изменений в Закон Пермского края ""О наделении органов местного самоуправления государственными полномочиями Пермского края по созданию и организации деятельности административных комиссий""",Закон 5265-19 от 2019-07-16,Закон,01.15.   Местное самоуправление
111,566-ПК,06.10.2020,"О внесении изменений в Закон Пермского края ""О наделении органов местного самоуправления государственными полномочиями Пермского края по созданию и организации деятельности административных комиссий""",Закон 2220-20 от 2020-04-02,Закон,01.15.   Местное самоуправление
112,524-ПК,30.03.2020,О наделении органов местного самоуправления Пермского края отдельными государственными полномочиями по подготовке и проведению Всероссийской переписи населения 2020 года,Закон 892-20 от 2020-02-10,Закон,01.15.   Местное самоуправление
113,172-ПК,05.02.2018,О внесении изменений в отдельные законы Пермской области и Пермского края,Подготовка аннотации - Политова Ольга Борисовна - 489188,Закон,01.15.   Местное самоуправление
114,589-ПК,07.12.2020,О внесении изменений в отдельные законы Пермского края,Подготовка аннотации - Синельникова Наталья Сергеевна - 733208,Закон,01.15.   Местное самоуправление
115,512-ПК,02.03.2020,Об образовании нового муниципального образования Сивинский муниципальный округ Пермского края,Закон 334-20 от 2020-01-17,Закон,01.15.   Местное самоуправление
116,584-ПК,21.12.2015,О порядке назначения и проведения опроса граждан в муниципальных образованиях Пермского края,Закон 7035-15 от 2015-09-04,Закон,01.15.   Местное самоуправление
